places.tsv,1919,1907,1883,1871,1868,1869,1891,1879,1901,1892,1864,1850,1849,1884,1900,1889,1895,1886,1890,1897,1888,1894,1913,1920,1896,1903,1912,1874,1873,1851,1885,1881,1870,1858,1863,1860,1915,1876,1840,1908,1880,1917,1867,1877,1862,1904,1859,1882,1853,1887,1923,1898,1909,1875,1866
albergo,6,11,9,0,6,5,10,3,39,2,2,0,1,1,5,7,0,11,11,3,4,21,22,14,0,42,56,1,1,2,23,24,10,0,3,21,24,5,6,3,0,7,7,1,7,7,44,10,2,2,3,1,5,20,2
rifugio,5,18,1,0,0,1,1,1,4,0,7,0,0,1,5,6,3,1,1,5,4,7,5,6,0,5,4,1,0,0,0,7,7,0,0,2,6,0,6,2,1,0,12,1,0,0,2,2,6,2,1,1,0,0,0
piazza,16,32,16,1,6,26,16,9,19,13,9,22,6,1,11,52,1,20,46,9,1,28,35,16,13,5,47,0,5,18,16,25,23,0,63,42,3,1,124,4,0,6,70,7,14,6,178,25,11,0,1,2,55,0,3
terrazza,4,10,4,0,0,0,4,9,37,21,1,0,0,0,0,13,0,2,6,4,0,17,3,4,0,1,6,0,1,1,0,3,0,1,0,1,17,0,2,10,0,5,20,0,0,0,2,3,2,13,0,1,0,0,5
caffè,8,1,8,0,7,18,18,26,39,18,5,16,8,3,0,3,0,5,44,22,13,12,23,18,16,23,16,4,11,5,19,62,2,0,0,11,5,5,1,1,4,8,46,4,19,8,53,24,7,1,23,17,12,3,11
ospedale,7,3,3,0,0,1,1,3,5,0,1,17,0,0,0,3,2,8,24,4,2,4,3,0,0,1,1,0,5,1,0,6,7,0,9,4,0,2,2,0,1,3,4,2,2,0,10,0,1,0,1,1,1,0,0
scuola,25,13,59,1,4,4,21,12,25,7,6,26,0,1,1,5,2,169,25,4,7,5,13,8,1,17,49,10,10,2,4,19,6,1,7,22,3,0,6,2,0,22,20,3,12,2,37,7,26,17,19,1,1,2,2
ospizio,1,0,0,0,0,0,2,0,1,0,0,2,0,0,1,0,0,0,2,6,0,8,2,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,0,1,2,0,0,0,1,3,0,0,0,0,1,0,0
stazione,12,3,6,0,5,13,25,9,26,17,0,0,0,11,0,4,0,19,17,11,17,2,20,9,0,21,31,1,0,0,13,21,3,0,0,4,18,1,3,6,3,3,3,3,2,11,0,15,0,3,10,3,1,14,0
