filename	autore	titolo	sesso	anno	decennio	tokens	range
Aleramo-Sibilla_Il passaggio	Aleramo, Sibilla	Il passaggio	f	1919	1910_1920		10_50mila
Aleramo-Sibilla_Una donna	Aleramo, Sibilla	Una donna	f	1921	1910_1920		50_150mila
Baccini-Ida_Il principino	Baccini, Ida	Il principino	f	1891	1890_1899		10_50mila
Baccini-Ida_Le memorie di un pulcino	Baccini, Ida	Le memorie di un pulcino	f	1875	1870_1879		10_50mila
Barbieri-Ulisse Adelia	Barbieri, Ulisse	Adelia	m	1867	1860_1869		50_150mila
Barbieri-Ulisse Lucifero	Barbieri, Ulisse	Lucifero	m	1871	1870_1879		10_50mila
Battaglia-Giacinto_La lega lombarda	Battaglia, Giacinto	La lega lombarda	m	1854	1850_1859		10_50mila
Bersezio-Vittorio La carita del prossimo	Bersezio, Vittori	La carità del prossimo	m	1868	1860_1869		50_150mila
Bersezio-Vittorio Povera_Giovanna	Bersezio, Vittori	Povera Giovanna	m	1869	1860_1869		50_150mila
Boito-Camillo Il maestro di Setticlavio	Boito, Camillo	Il maestro di Setticlavio	m	1900	1900_1909		10_50mila
Boito-Camillo_Senso.-Nuove-storielle-vane.xml	Boito, Camillo	Senso, Nuove storielle varie	m	1883	1880_1889		10_50mila
Capuana Profumo	Capuana, Luigi	Profumo	m	1892	1890_1899		50_150mila
Capuana-Luigi Giacinta	Capuana, Luigi	Giacinta	m	1879	1870_1879		50_150mila
Capuana-Luigi Il marchese di Roccaverdina	Capuana, Luigi	Il marchese di Roccaverdina	m	1901	1900_1909		50_150mila
Carcano-Giulio Damiano	Carcano, Giulio	Damiano	m	1850	1850_1859		50_150mila
Carcano-Giulio La nunziata	Carcano, Giulio	La nunziata	m	1842	1840_1849		50_150mila
Castellani-FantoniBenaglio-Ines_Mia	Castellani Fantoni Benaglio, Ines	Mia	f	1887	1880_1889		10_50mila
Collodi-Carlo_Le-avventure-di-Pinocchio.xml	Collodi, Carlo	Le avventure di Pinocchio	m	1881	1880_1889		10_50mila
D-annunzio Il piacere	D’Annunzio, Gabriele	Il piacere	m	1889	1880_1889		50_150mila
D-Annunzio-Gabriele Il fuoco	D’Annunzio, Gabriele	Il fuoco	m	1898	1890-1899		50_150mila
D'Annunzio-Gabriele Le vergini delle rocce	D’Annunzio, Gabriele	Le vergini delle rocce	m	1895	1890_1899		50_150mila
De-Amicis-Edmondo_Cuore.xml	De Amicis, Edomondo	Cuore	m	1886	1880_1889		50_150mila
Deledda-Grazia Canne al vento	Deledda, Grazia	Canne al vento	f	1913	1910_1920		50_150mila
Deledda-Grazia La via del male	Deledda, Grazia	La via del male	f	1896	1890_1899		50_150mila
Deledda-Grazia_La madre	Deledda, Grazia	La madre	f	1920	1910_1920		10_50mila
De-Marchi-Emilio Demetrio Pianelli	De Marchi, Emilio	Demetrio Pianelli	m	1890	1890_1899		50_150mila
De-Marchi-Emilio Giacomo l'idealista	De Marchi, Emilio	Giacomo l’idealista	m	1897	1890_1899		50_150mila
De-Marchi-Emilio Il cappello del prete	De Marchi, Emilio	Il cappello del prete	m	1888	1880_1889		50_150mila
De-Roberto- I Vicer�	De Roberto, Federico	I viceré	m	1894	1890_1899		oltre150mila
De-Roberto-Federico_Processi-verbali.xml	De Roberto, Federico	Processi verbali	m	1890	1880_1889		10_50mila
Di-Luanto-Regina_Nuovissimo amore	Di Luanto, Regina	Nuovissimo amore	f	1903	1900_1909		50_150mila
Di-Luanto-Regina_Per il lusso	Di Luanto, Regina	Per il lusso	f	1912	1910_1920		50_150mila
Dossi-Carlo La_Colonia_Felice	Dossi, Carlo	La colonia felice	m	1874	1870_1879		10_50mila
Dossi-Carlo La_Desinenza_In_A	Dossi, Carlo	La desinenza in A	m	1889	1880_1889		50_150mila
Fogazzaro-Antonio Malombra	Fogazzaro, Antonio	Malombra	m	1914	1910-1920		50_150mila
Fogazzaro-Antonio_Daniele-Cortis.xml	Fogazzaro, Antonio	Daniele Cortis	m	1885	1880_1889		50_150mila
Fogazzaro-Antonio_Piccolo-mondo-moderno.xml	Fogazzaro, Antonio	Piccolo mondo moderno	m	1901	1900_1909		50_150mila
Garibaldi-Giuseppe_Cantoni_il_volontario	Garibaldi, Giuseppe	Cantoni il volontario	m	1870	1870_1879		10_50mila
