File,Lemma,Occurrences,Language,LemmaID,Source,Tags,Author,Title,Gender,Year,Decade,Description
Battaglia-Giacinto_La lega lombarda_1854.txt,critico,4,it,http://www.wikidata.org/entity/Q6430706,wikidata,profession,Battaglia Giacinto,La lega lombarda,m,1854,1850_1859,
Battaglia-Giacinto_La lega lombarda_1854.txt,libraio,2,it,http://www.wikidata.org/entity/Q998550,wikidata,profession,Battaglia Giacinto,La lega lombarda,m,1854,1850_1859,professione
Battaglia-Giacinto_La lega lombarda_1854.txt,lettore,1,it,http://www.wikidata.org/entity/Q1569495,wikidata,profession,Battaglia Giacinto,La lega lombarda,m,1854,1850_1859,posizione accademica di rango inferiore al professore
Battaglia-Giacinto_La lega lombarda_1854.txt,romanziere,1,it,http://www.wikidata.org/entity/Q6625963,wikidata,profession,Battaglia Giacinto,La lega lombarda,m,1854,1850_1859,autore di romanzi e/o racconti
Battaglia-Giacinto_La lega lombarda_1854.txt,re,11,it,http://www.wikidata.org/entity/Q12097,wikidata,profession,Battaglia Giacinto,La lega lombarda,m,1854,1850_1859,titolo nobiliare maschile
Battaglia-Giacinto_La lega lombarda_1854.txt,pastore,5,it,http://www.wikidata.org/entity/Q81710,wikidata,profession,Battaglia Giacinto,La lega lombarda,m,1854,1850_1859,persona che guida e si prende cura di un gregge di pecore o altri animali
Battaglia-Giacinto_La lega lombarda_1854.txt,capo,22,it,http://www.wikidata.org/entity/Q59260362,wikidata,profession,Battaglia Giacinto,La lega lombarda,m,1854,1850_1859,posizione all'interno di una organizzazione
Battaglia-Giacinto_La lega lombarda_1854.txt,cavaliere,10,it,http://www.wikidata.org/entity/Q2730732,wikidata,profession,Battaglia Giacinto,La lega lombarda,m,1854,1850_1859,atleta che pratica lo sport dell'equitazione
Battaglia-Giacinto_La lega lombarda_1854.txt,deputato,4,it,http://www.wikidata.org/entity/Q1055894,wikidata,profession,Battaglia Giacinto,La lega lombarda,m,1854,1850_1859,membro di una assemblea legislativa
Battaglia-Giacinto_La lega lombarda_1854.txt,storico,2,it,http://www.wikidata.org/entity/Q201788,wikidata,profession,Battaglia Giacinto,La lega lombarda,m,1854,1850_1859,persona che studia il passato
Battaglia-Giacinto_La lega lombarda_1854.txt,imperatore,15,it,http://www.wikidata.org/entity/Q39018,wikidata,profession,Battaglia Giacinto,La lega lombarda,m,1854,1850_1859,tipo di monarca
Battaglia-Giacinto_La lega lombarda_1854.txt,guida,1,it,http://www.wikidata.org/entity/Q14290559,wikidata,profession,Battaglia Giacinto,La lega lombarda,m,1854,1850_1859,
Battaglia-Giacinto_La lega lombarda_1854.txt,mandriano,1,it,http://www.wikidata.org/entity/Q12059906,wikidata,profession,Battaglia Giacinto,La lega lombarda,m,1854,1850_1859,persona che si occupa di custodire il bestiame
Battaglia-Giacinto_La lega lombarda_1854.txt,custode,2,it,http://www.wikidata.org/entity/Q64155712,wikidata,profession,Battaglia Giacinto,La lega lombarda,m,1854,1850_1859,addetto alla custodia; alla cura; alla sorveglianza di edifici; case; animali; persone
Battaglia-Giacinto_La lega lombarda_1854.txt,governatore,1,it,http://www.wikidata.org/entity/Q132050,wikidata,profession,Battaglia Giacinto,La lega lombarda,m,1854,1850_1859,funzionario a capo di un settore; civile o militare
Battaglia-Giacinto_La lega lombarda_1854.txt,ama,1,it,http://www.wikidata.org/entity/Q1577970,wikidata,profession,Battaglia Giacinto,La lega lombarda,m,1854,1850_1859,pescatrici subacquee in apnea tradizionali giapponesi
Battaglia-Giacinto_La lega lombarda_1854.txt,guardia,2,it,http://www.wikidata.org/entity/Q680928,wikidata,profession,Battaglia Giacinto,La lega lombarda,m,1854,1850_1859,
Battaglia-Giacinto_La lega lombarda_1854.txt,guerriero,3,it,http://www.wikidata.org/entity/Q1250916,wikidata,profession,Battaglia Giacinto,La lega lombarda,m,1854,1850_1859,
Battaglia-Giacinto_La lega lombarda_1854.txt,scalco,1,it,http://www.wikidata.org/entity/Q3951424,wikidata,profession,Battaglia Giacinto,La lega lombarda,m,1854,1850_1859,
Battaglia-Giacinto_La lega lombarda_1854.txt,saggio,1,it,http://www.wikidata.org/entity/Q2624172,wikidata,profession,Battaglia Giacinto,La lega lombarda,m,1854,1850_1859,
Battaglia-Giacinto_La lega lombarda_1854.txt,maestro,1,it,http://www.wikidata.org/entity/Q2251335,wikidata,profession,Battaglia Giacinto,La lega lombarda,m,1854,1850_1859,professione
