File	Lemma	Occurrences	Language	LemmaID	Source	Tags	Author	Title	Gender	Year	Decade	Description
Bersezio-Vittorio_Povera-Giovanna_1869.txt	campanile	6	it	custom_456	custom	religious building (place)	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	
Bersezio-Vittorio_Povera-Giovanna_1869.txt	signore	144	it	http://www.wikidata.org/entity/Q57979877	wikidata	noble rank	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	Titolo di nobiltà italiana
Bersezio-Vittorio_Povera-Giovanna_1869.txt	campanaro	9	it	http://www.sapere.it/enciclopedia/campanaro.html	sapere	profession	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	campanaro: (toscano
Bersezio-Vittorio_Povera-Giovanna_1869.txt	piazza	25	it	custom_700	custom	public (place)	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	
Bersezio-Vittorio_Povera-Giovanna_1869.txt	chiesa	13	it	http://www.wikidata.org/entity/Q16970	wikidata	religious building (place)	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	edificio religioso cristiano
Bersezio-Vittorio_Povera-Giovanna_1869.txt	bottega	25	it	custom_48	custom	commercial building (place)	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	
Bersezio-Vittorio_Povera-Giovanna_1869.txt	speziale	97	it	http://www.wikidata.org/entity/Q1131236	wikidata	historical profession	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	
Bersezio-Vittorio_Povera-Giovanna_1869.txt	canonica	7	it	http://www.wikidata.org/entity/Q607241	wikidata	religious building (place)	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	edificio destinato a residenza del clero cattolico di un centro abitato
Bersezio-Vittorio_Povera-Giovanna_1869.txt	fantesca	1	it	http://www.sapere.it/enciclopedia/fant%C3%A9sca.html	sapere	profession	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	fantésca: sf. [sec. XIV; da fante sul modello del greco
Bersezio-Vittorio_Povera-Giovanna_1869.txt	casa	163	it	custom_184	custom	civil building (place)	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	
Bersezio-Vittorio_Povera-Giovanna_1869.txt	segretario	25	it	http://www.wikidata.org/entity/Q80687	wikidata	profession	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	impiegato che svolge vari tipi di mansioni
Bersezio-Vittorio_Povera-Giovanna_1869.txt	comune	5	it	custom_639	custom	public (place)	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	
Bersezio-Vittorio_Povera-Giovanna_1869.txt	cappella	3	it	http://www.wikidata.org/entity/Q108325	wikidata	religious building (place)	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	luogo destinato al culto religioso e legato a una struttura più grande
Bersezio-Vittorio_Povera-Giovanna_1869.txt	marchese	109	it	http://www.wikidata.org/entity/Q209726	wikidata	noble rank	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	titolo nobiliare
Bersezio-Vittorio_Povera-Giovanna_1869.txt	dimora	5	it	custom_245	custom	civil building (place)	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	
Bersezio-Vittorio_Povera-Giovanna_1869.txt	palazzo	4	it	custom_265	custom	civil building (place)	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	
Bersezio-Vittorio_Povera-Giovanna_1869.txt	serva	14	it	http://www.sapere.it/enciclopedia/s%C3%A8rva.html	sapere	profession	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	sèrva: sf. [sec. XIV; f. di servo].
Bersezio-Vittorio_Povera-Giovanna_1869.txt	prevosto	5	it	http://www.wikidata.org/entity/Q756215	wikidata	ecclesiastical occupation	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	titolo presbiterale e prelatizio
Bersezio-Vittorio_Povera-Giovanna_1869.txt	giardino	11	it	http://www.wikidata.org/entity/Q1107656	wikidata	workplace (place)	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	
Bersezio-Vittorio_Povera-Giovanna_1869.txt	palazzina	1	it	custom_264	custom	civil building (place)	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	
Bersezio-Vittorio_Povera-Giovanna_1869.txt	modello	1	it	http://www.wikidata.org/entity/Q4610556	wikidata	profession	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	professione
Bersezio-Vittorio_Povera-Giovanna_1869.txt	scultore	1	it	http://www.wikidata.org/entity/Q1281618	wikidata	profession	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	artista che pratica l'arte della scultura
Bersezio-Vittorio_Povera-Giovanna_1869.txt	poeta	1	it	http://www.wikidata.org/entity/Q49757	wikidata	profession	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	scrittore di poesie
Bersezio-Vittorio_Povera-Giovanna_1869.txt	capo	62	it	http://www.wikidata.org/entity/Q20920693	wikidata	profession	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	posizione all'interno di una organizzazione
Bersezio-Vittorio_Povera-Giovanna_1869.txt	stanza	60	it	http://www.wikidata.org/entity/Q180516	wikidata	facility (place)	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	ambiente interno di un edificio; ad uso abitazione o ufficio
Bersezio-Vittorio_Povera-Giovanna_1869.txt	membro	4	it	http://www.wikidata.org/entity/Q59820617	wikidata	honorary title	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	titolo onorifico in uso in molti ordinamenti
Bersezio-Vittorio_Povera-Giovanna_1869.txt	stella	3	it	http://www.wikidata.org/entity/Q15982595	wikidata	profession	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	artista del mondo dello spettacolo che gode di molta popolarità
Bersezio-Vittorio_Povera-Giovanna_1869.txt	altare	3	it	custom_445	custom	religious building (place)	Bersezio Vittorio	Povera Giovanna	m	1869	1860_1869	
