File	Lemma	Occurrences	Language	LemmaID	Source	Tags	Author	Title	Gender	Year	Decade	Description
Capuana-Luigi_Giacinta_1879.txt	capitano	19	it	http://www.wikidata.org/entity/Q5036510	wikidata	military rank	Capuana Luigi	Giacinta	m	1879	1870_1879	grado militare della Royal Marines e della British Army
Capuana-Luigi_Giacinta_1879.txt	terrazza	5	it	custom_288	custom	civil building (place)	Capuana Luigi	Giacinta	m	1879	1870_1879	
Capuana-Luigi_Giacinta_1879.txt	tenente	2	it	http://www.wikidata.org/entity/Q8059446	wikidata	military rank	Capuana Luigi	Giacinta	m	1879	1870_1879	gradi militare greco
Capuana-Luigi_Giacinta_1879.txt	signore	260	it	http://www.wikidata.org/entity/Q57979877	wikidata	noble rank	Capuana Luigi	Giacinta	m	1879	1870_1879	Titolo di nobiltà italiana
Capuana-Luigi_Giacinta_1879.txt	avvocato	5	it	http://www.wikidata.org/entity/Q40348	wikidata	profession	Capuana Luigi	Giacinta	m	1879	1870_1879	professione svolta in ambito giuridico
Capuana-Luigi_Giacinta_1879.txt	capo	64	it	http://www.wikidata.org/entity/Q20920693	wikidata	profession	Capuana Luigi	Giacinta	m	1879	1870_1879	posizione all'interno di una organizzazione
Capuana-Luigi_Giacinta_1879.txt	centro	4	it	http://www.wikidata.org/entity/Q68773434	wikidata	facility (place)	Capuana Luigi	Giacinta	m	1879	1870_1879	tipo di installazione
Capuana-Luigi_Giacinta_1879.txt	conte	84	it	http://www.wikidata.org/entity/Q3519259	wikidata	noble rank	Capuana Luigi	Giacinta	m	1879	1870_1879	titolo della nobiltà esistente nei paesi europei
Capuana-Luigi_Giacinta_1879.txt	giardino	11	it	http://www.wikidata.org/entity/Q1107656	wikidata	workplace (place)	Capuana Luigi	Giacinta	m	1879	1870_1879	
Capuana-Luigi_Giacinta_1879.txt	stanza	30	it	http://www.wikidata.org/entity/Q180516	wikidata	facility (place)	Capuana Luigi	Giacinta	m	1879	1870_1879	ambiente interno di un edificio; ad uso abitazione o ufficio
