File,Lemma,Occurrences,Language,LemmaID,Source,Tags,Author,Title,Gender,Year,Decade,Description
D-Annunzio-Gabriele_Le-Vergini-Delle-Rocce_1895.tsv,capo,33,it,http://www.wikidata.org/entity/Q59260362,wikidata,profession,D’Annunzio Gabriele,Le vergini delle rocce,m,1895,1890_1899,posizione all'interno di una organizzazione
D-Annunzio-Gabriele_Le-Vergini-Delle-Rocce_1895.tsv,regina,7,it,http://www.wikidata.org/entity/Q16511993,wikidata,profession,D’Annunzio Gabriele,Le vergini delle rocce,m,1895,1890_1899,monarca di genere femminile
D-Annunzio-Gabriele_Le-Vergini-Delle-Rocce_1895.tsv,poeta,8,it,http://www.wikidata.org/entity/Q49757,wikidata,profession,D’Annunzio Gabriele,Le vergini delle rocce,m,1895,1890_1899,scrittore di poesie
D-Annunzio-Gabriele_Le-Vergini-Delle-Rocce_1895.tsv,poeta,8,vec,http://www.wikidata.org/entity/Q49757,wikidata,profession,D’Annunzio Gabriele,Le vergini delle rocce,m,1895,1890_1899,
D-Annunzio-Gabriele_Le-Vergini-Delle-Rocce_1895.tsv,maestro,16,it,http://www.wikidata.org/entity/Q2251335,wikidata,profession,D’Annunzio Gabriele,Le vergini delle rocce,m,1895,1890_1899,professione
D-Annunzio-Gabriele_Le-Vergini-Delle-Rocce_1895.tsv,saggio,3,it,http://www.wikidata.org/entity/Q2624172,wikidata,profession,D’Annunzio Gabriele,Le vergini delle rocce,m,1895,1890_1899,
D-Annunzio-Gabriele_Le-Vergini-Delle-Rocce_1895.tsv,profeta,1,it,http://www.wikidata.org/entity/Q42857,wikidata,profession,D’Annunzio Gabriele,Le vergini delle rocce,m,1895,1890_1899,
D-Annunzio-Gabriele_Le-Vergini-Delle-Rocce_1895.tsv,giudice,2,it,http://www.wikidata.org/entity/Q3502546,wikidata,profession,D’Annunzio Gabriele,Le vergini delle rocce,m,1895,1890_1899,persona che sovraintende allo svolgimento di un match o un torneo di tennis
D-Annunzio-Gabriele_Le-Vergini-Delle-Rocce_1895.tsv,danzatore,1,it,http://www.wikidata.org/entity/Q5716684,wikidata,profession,D’Annunzio Gabriele,Le vergini delle rocce,m,1895,1890_1899,persona che danza
D-Annunzio-Gabriele_Le-Vergini-Delle-Rocce_1895.tsv,guida,3,it,http://www.wikidata.org/entity/Q14290559,wikidata,profession,D’Annunzio Gabriele,Le vergini delle rocce,m,1895,1890_1899,
D-Annunzio-Gabriele_Le-Vergini-Delle-Rocce_1895.tsv,re,13,it,http://www.wikidata.org/entity/Q12097,wikidata,profession,D’Annunzio Gabriele,Le vergini delle rocce,m,1895,1890_1899,titolo nobiliare maschile
D-Annunzio-Gabriele_Le-Vergini-Delle-Rocce_1895.tsv,re,13,scn,http://www.wikidata.org/entity/Q12097,wikidata,profession,D’Annunzio Gabriele,Le vergini delle rocce,m,1895,1890_1899,suvranu màsculu dûn regnu
D-Annunzio-Gabriele_Le-Vergini-Delle-Rocce_1895.tsv,re,13,vec,http://www.wikidata.org/entity/Q12097,wikidata,profession,D’Annunzio Gabriele,Le vergini delle rocce,m,1895,1890_1899,
D-Annunzio-Gabriele_Le-Vergini-Delle-Rocce_1895.tsv,cantore,2,it,http://www.wikidata.org/entity/Q330679,wikidata,profession,D’Annunzio Gabriele,Le vergini delle rocce,m,1895,1890_1899,cantore di musica sacra o profana
D-Annunzio-Gabriele_Le-Vergini-Delle-Rocce_1895.tsv,musa,1,it,http://www.wikidata.org/entity/Q1954172,wikidata,profession,D’Annunzio Gabriele,Le vergini delle rocce,m,1895,1890_1899,
D-Annunzio-Gabriele_Le-Vergini-Delle-Rocce_1895.tsv,stalliere,1,it,http://www.sapere.it/enciclopedia/stalli%C3%A8re.html,sapere,profession,D’Annunzio Gabriele,Le vergini delle rocce,m,1895,1890_1899,stallière: sm. [sec. XVII; da stalla]. Domestico; inserviente che accudisce ai cavalli.
D-Annunzio-Gabriele_Le-Vergini-Delle-Rocce_1895.tsv,banchiere,1,it,http://www.wikidata.org/entity/Q806798,wikidata,profession,D’Annunzio Gabriele,Le vergini delle rocce,m,1895,1890_1899,proprietario o dirigente di una banca
