File,Lemma,Occurrences,Language,LemmaID,Source,Tags,Author,Title,Gender,Year,Decade,Description
Di-Luanto-Regina_Nuovissimo amore_1903.txt,maschera,2,it,http://www.wikidata.org/entity/Q25410306,wikidata,profession,Di Luanto Regina,Nuovissimo amore,f,1903,1900_1909,figura professionale in ambito teatrale
Di-Luanto-Regina_Nuovissimo amore_1903.txt,artista,1,it,http://www.wikidata.org/entity/Q483501,wikidata,profession,Di Luanto Regina,Nuovissimo amore,f,1903,1900_1909,persona che crea; pratica o dimostra qualsiasi arte
Di-Luanto-Regina_Nuovissimo amore_1903.txt,capo,39,it,http://www.wikidata.org/entity/Q59260362,wikidata,profession,Di Luanto Regina,Nuovissimo amore,f,1903,1900_1909,posizione all'interno di una organizzazione
Di-Luanto-Regina_Nuovissimo amore_1903.txt,comparsa,4,it,http://www.wikidata.org/entity/Q658371,wikidata,profession,Di Luanto Regina,Nuovissimo amore,f,1903,1900_1909,
Di-Luanto-Regina_Nuovissimo amore_1903.txt,cuoco,1,it,http://www.wikidata.org/entity/Q2276446,wikidata,profession,Di Luanto Regina,Nuovissimo amore,f,1903,1900_1909,collaboratore domestico
Di-Luanto-Regina_Nuovissimo amore_1903.txt,conquistatore,1,it,http://www.wikidata.org/entity/Q3683504,wikidata,profession,Di Luanto Regina,Nuovissimo amore,f,1903,1900_1909,conquistatore
Di-Luanto-Regina_Nuovissimo amore_1903.txt,stella,2,it,http://www.wikidata.org/entity/Q15982595,wikidata,profession,Di Luanto Regina,Nuovissimo amore,f,1903,1900_1909,artista del mondo dello spettacolo che gode di molta popolarità
Di-Luanto-Regina_Nuovissimo amore_1903.txt,modello,1,it,http://www.wikidata.org/entity/Q4610556,wikidata,profession,Di Luanto Regina,Nuovissimo amore,f,1903,1900_1909,professione
Di-Luanto-Regina_Nuovissimo amore_1903.txt,maestra,1,it,http://www.wikidata.org/entity/Q78812499,wikidata,profession,Di Luanto Regina,Nuovissimo amore,f,1903,1900_1909,insegnante nella scuola elementare
Di-Luanto-Regina_Nuovissimo amore_1903.txt,giudice,3,it,http://www.wikidata.org/entity/Q3502546,wikidata,profession,Di Luanto Regina,Nuovissimo amore,f,1903,1900_1909,persona che sovraintende allo svolgimento di un match o un torneo di tennis
Di-Luanto-Regina_Nuovissimo amore_1903.txt,arbitro,1,it,http://www.wikidata.org/entity/Q716711,wikidata,profession,Di Luanto Regina,Nuovissimo amore,f,1903,1900_1909,responsabile del rispetto delle regole del Football Americano durante il gioco
Di-Luanto-Regina_Nuovissimo amore_1903.txt,agente,1,it,http://www.wikidata.org/entity/Q835173,wikidata,profession,Di Luanto Regina,Nuovissimo amore,f,1903,1900_1909,
Di-Luanto-Regina_Nuovissimo amore_1903.txt,guardia,4,it,http://www.wikidata.org/entity/Q680928,wikidata,profession,Di Luanto Regina,Nuovissimo amore,f,1903,1900_1909,
Di-Luanto-Regina_Nuovissimo amore_1903.txt,governante,1,it,http://www.wikidata.org/entity/Q2596569,wikidata,profession,Di Luanto Regina,Nuovissimo amore,f,1903,1900_1909,
Di-Luanto-Regina_Nuovissimo amore_1903.txt,critico,2,it,http://www.wikidata.org/entity/Q6430706,wikidata,profession,Di Luanto Regina,Nuovissimo amore,f,1903,1900_1909,
Di-Luanto-Regina_Nuovissimo amore_1903.txt,spia,1,it,http://www.wikidata.org/entity/Q9352089,wikidata,profession,Di Luanto Regina,Nuovissimo amore,f,1903,1900_1909,soggetto atto a praticare l'attività di spionaggio per conto di agenzie governative
Di-Luanto-Regina_Nuovissimo amore_1903.txt,cameriere,1,it,http://www.wikidata.org/entity/Q157195,wikidata,profession,Di Luanto Regina,Nuovissimo amore,f,1903,1900_1909,personale di servizio in luoghi di ristorazione o case prevate
Di-Luanto-Regina_Nuovissimo amore_1903.txt,guida,1,it,http://www.wikidata.org/entity/Q14290559,wikidata,profession,Di Luanto Regina,Nuovissimo amore,f,1903,1900_1909,
Di-Luanto-Regina_Nuovissimo amore_1903.txt,cocchiere,1,it,http://www.wikidata.org/entity/Q1221610,wikidata,profession,Di Luanto Regina,Nuovissimo amore,f,1903,1900_1909,
Di-Luanto-Regina_Nuovissimo amore_1903.txt,educatore,1,it,http://www.wikidata.org/entity/Q974144,wikidata,profession,Di Luanto Regina,Nuovissimo amore,f,1903,1900_1909,persona dedita all'educazione
Di-Luanto-Regina_Nuovissimo amore_1903.txt,poeta,1,it,http://www.wikidata.org/entity/Q49757,wikidata,profession,Di Luanto Regina,Nuovissimo amore,f,1903,1900_1909,scrittore di poesie
