File	Lemma	Occurrences	Language	LemmaID	Source	Tags	Author	Title	Gender	Year	Decade	Description
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	giardiniere	15	it	http://www.wikidata.org/entity/Q758780	wikidata	profession	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	persona che si prende cura dei giardini per hobby o per professione
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	cuoco	8	it	http://www.wikidata.org/entity/Q2276446	wikidata	profession	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	collaboratore domestico
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	cocchiere	13	it	http://www.wikidata.org/entity/Q1221610	wikidata	profession	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	signore	311	it	http://www.wikidata.org/entity/Q57979877	wikidata	noble rank	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	Titolo di nobiltà italiana
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	domestico	16	it	http://www.sapere.it/enciclopedia/dom%C3%A8stico.html	sapere	profession	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	domèstico: (ant. e dial. dimèstico); agg. e sm. (pl. m. -ci) [sec. XIII; dal latino domestícus].
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	capo	77	it	http://www.wikidata.org/entity/Q20920693	wikidata	profession	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	posizione all'interno di una organizzazione
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	brumista	1	it	http://www.sapere.it/enciclopedia/brumista.html	sapere	profession	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	brumista: sm. reg. (pl. -i) [da brum]. Cocchiere; vetturino.
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	predicatore	1	it	http://www.wikidata.org/entity/Q432386	wikidata	profession	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	garzone	1	it	http://www.sapere.it/enciclopedia/garz%C3%B3ne.html	sapere	profession	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	garzóne: sm. (f. -a) [sec. XIII; francese
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	cavaliere	35	it	http://www.wikidata.org/entity/Q2730732	wikidata	profession	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	atleta che pratica lo sport dell'equitazione
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	commendatore	5	it	http://www.wikidata.org/entity/Q524980	wikidata	honorary title	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	grado onorifico
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	marchese	54	it	http://www.wikidata.org/entity/Q209726	wikidata	noble rank	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	titolo nobiliare
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	compagno	18	it	http://www.wikidata.org/entity/Q59820483	wikidata	honorary title	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	titolo onorifico in uso in molti ordinamenti
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	nobile	7	it	http://www.wikidata.org/entity/Q3877594	wikidata	nobiliary particle	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	titolo nobiliare italiano
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	vescovo	5	it	http://www.wikidata.org/entity/Q29182	wikidata	ecclesiastical occupation	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	responsabile di una diocesi (non necessariamente cattolico)
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	prefetto	13	it	http://www.wikidata.org/entity/Q5183538	wikidata	military rank	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	ufficiale dell'Antica Roma; solitamente appartenente all'ordine equestre
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	capitano	4	it	http://www.wikidata.org/entity/Q5036510	wikidata	military rank	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	grado militare della Royal Marines e della British Army
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	archeologo	1	it	http://www.wikidata.org/entity/Q3621491	wikidata	profession	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	professionista qualificato in una delle branche dell'archeologia
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	giudice	4	it	http://www.wikidata.org/entity/Q3769128	wikidata	noble rank	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	sovrano in lingua volgare sarda
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	cronista	1	it	http://www.wikidata.org/entity/Q3330547	wikidata	profession	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	autore di una cronaca
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	medico	25	it	http://www.sapere.it/enciclopedia/m%C3%A8dico.html	sapere	profession	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	mèdico: agg. e sm. (pl. m. -ci) [sec. XIII; dal latino medícus; da medēri; curare].
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	direttore	23	it	http://www.wikidata.org/entity/Q1162163	wikidata	profession	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	ruolo di comando in un'impresa; in un'organizzazione o un'istituzione
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	clero	2	it	http://www.wikidata.org/entity/Q177826	wikidata	profession	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	censore	1	it	http://www.wikidata.org/entity/Q22272441	wikidata	profession	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	banchiere	1	it	http://www.wikidata.org/entity/Q806798	wikidata	profession	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	proprietario o dirigente di una banca
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	droghiere	1	it	http://www.wikidata.org/entity/Q7892860	wikidata	profession	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	deputato	10	it	http://www.wikidata.org/entity/Q1055894	wikidata	profession	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	membro di una assemblea legislativa
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	canonico	1	it	http://www.wikidata.org/entity/Q1237385	wikidata	ecclesiastical occupation	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	diurnista	1	it	http://www.sapere.it/enciclopedia/diurnista.html	sapere	profession	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	diurnista: sm. e f. (pl. m. -i) [sec. XIX; da diurno]. Dipendente di un'amministrazione statale; assunto per lavori saltuari. Gli compete una retribuzione conteggiata a giornate e pari a un trentesimo dello stipendio mensile di un avventizio.
Fogazzaro-Antonio_Piccolo-mondo-moderno_1901.txt	monsignore	2	it	http://www.wikidata.org/entity/Q854905	wikidata	noble rank	Fogazzaro Antonio	Piccolo mondo moderno	m	1901	1900_1909	
