File,Lemma,Occurrences,Language,LemmaID,Source,Tags,Author,Title,Gender,Year,Decade,Description
Invernizio-Carolina_Il-bacio-d-una-morta_1886.tsv,pittore,4,it,http://www.wikidata.org/entity/Q1028181,wikidata,profession,Invernizio Carolina,I misteri delle soffitte,f,1886,1880_1889,artista che pratica l'arte della pittura
Invernizio-Carolina_Il-bacio-d-una-morta_1886.tsv,fiaccheraio,37,it,http://www.sapere.it/enciclopedia/fiaccher%C3%A0io.html,sapere,profession,Invernizio Carolina,I misteri delle soffitte,f,1886,1880_1889,fiaccheràio: sm. toscano [sec. XIX; da fiacchere]. Vetturino di fiacre.
Invernizio-Carolina_Il-bacio-d-una-morta_1886.tsv,capraio,54,it,http://www.wikidata.org/entity/Q5575361,wikidata,profession,Invernizio Carolina,I misteri delle soffitte,f,1886,1880_1889,
Invernizio-Carolina_Il-bacio-d-una-morta_1886.tsv,stella,4,it,http://www.wikidata.org/entity/Q15982595,wikidata,profession,Invernizio Carolina,I misteri delle soffitte,f,1886,1880_1889,artista del mondo dello spettacolo che gode di molta popolarità
Invernizio-Carolina_Il-bacio-d-una-morta_1886.tsv,servitore,27,it,http://www.sapere.it/enciclopedia/servit%C3%B3re.html,sapere,profession,Invernizio Carolina,I misteri delle soffitte,f,1886,1880_1889,servitóre: (anticamente
Invernizio-Carolina_Il-bacio-d-una-morta_1886.tsv,contadino,35,it,http://www.sapere.it/enciclopedia/contadino.html,sapere,profession,Invernizio Carolina,I misteri delle soffitte,f,1886,1880_1889,contadino: sm. e agg. [sec. XIV; da contado].
Invernizio-Carolina_Il-bacio-d-una-morta_1886.tsv,capo,50,it,http://www.wikidata.org/entity/Q59260362,wikidata,profession,Invernizio Carolina,I misteri delle soffitte,f,1886,1880_1889,posizione all'interno di una organizzazione
Invernizio-Carolina_Il-bacio-d-una-morta_1886.tsv,governante,75,it,http://www.wikidata.org/entity/Q2596569,wikidata,profession,Invernizio Carolina,I misteri delle soffitte,f,1886,1880_1889,
Invernizio-Carolina_Il-bacio-d-una-morta_1886.tsv,cocchiere,5,it,http://www.wikidata.org/entity/Q1221610,wikidata,profession,Invernizio Carolina,I misteri delle soffitte,f,1886,1880_1889,
Invernizio-Carolina_Il-bacio-d-una-morta_1886.tsv,medico,37,it,http://www.sapere.it/enciclopedia/m%C3%A8dico.html,sapere,profession,Invernizio Carolina,I misteri delle soffitte,f,1886,1880_1889,mèdico: agg. e sm. (pl. m. -ci) [sec. XIII; dal latino medícus; da medēri; curare].
Invernizio-Carolina_Il-bacio-d-una-morta_1886.tsv,custode,44,it,http://www.wikidata.org/entity/Q64155712,wikidata,profession,Invernizio Carolina,I misteri delle soffitte,f,1886,1880_1889,addetto alla custodia; alla cura; alla sorveglianza di edifici; case; animali; persone
Invernizio-Carolina_Il-bacio-d-una-morta_1886.tsv,lettore,1,it,http://www.wikidata.org/entity/Q1569495,wikidata,profession,Invernizio Carolina,I misteri delle soffitte,f,1886,1880_1889,posizione accademica di rango inferiore al professore
