File,Lemma,Occurrences,Language,LemmaID,Source,Tags,Author,Title,Gender,Year,Decade,Description
Invernizio-Carolina_Il_Bacio_Duna_Morta_1886.txt,pittore,4,it,http://www.wikidata.org/entity/Q1028181,wikidata,profession,Invernizio Carolina,Il bacio di una morta,f,1886,1880_1889,artista che pratica l'arte della pittura
Invernizio-Carolina_Il_Bacio_Duna_Morta_1886.txt,capraio,54,it,http://www.wikidata.org/entity/Q5575361,wikidata,profession,Invernizio Carolina,Il bacio di una morta,f,1886,1880_1889,
Invernizio-Carolina_Il_Bacio_Duna_Morta_1886.txt,stella,4,it,http://www.wikidata.org/entity/Q15982595,wikidata,profession,Invernizio Carolina,Il bacio di una morta,f,1886,1880_1889,artista del mondo dello spettacolo che gode di molta popolarità
Invernizio-Carolina_Il_Bacio_Duna_Morta_1886.txt,capo,50,it,http://www.wikidata.org/entity/Q59260362,wikidata,profession,Invernizio Carolina,Il bacio di una morta,f,1886,1880_1889,posizione all'interno di una organizzazione
Invernizio-Carolina_Il_Bacio_Duna_Morta_1886.txt,governante,75,it,http://www.wikidata.org/entity/Q2596569,wikidata,profession,Invernizio Carolina,Il bacio di una morta,f,1886,1880_1889,
Invernizio-Carolina_Il_Bacio_Duna_Morta_1886.txt,cocchiere,5,it,http://www.wikidata.org/entity/Q1221610,wikidata,profession,Invernizio Carolina,Il bacio di una morta,f,1886,1880_1889,
Invernizio-Carolina_Il_Bacio_Duna_Morta_1886.txt,custode,44,it,http://www.wikidata.org/entity/Q64155712,wikidata,profession,Invernizio Carolina,Il bacio di una morta,f,1886,1880_1889,addetto alla custodia; alla cura; alla sorveglianza di edifici; case; animali; persone
Invernizio-Carolina_Il_Bacio_Duna_Morta_1886.txt,lettore,1,it,http://www.wikidata.org/entity/Q1569495,wikidata,profession,Invernizio Carolina,Il bacio di una morta,f,1886,1880_1889,posizione accademica di rango inferiore al professore
Invernizio-Carolina_Il_Bacio_Duna_Morta_1886.txt,funzionario,2,it,http://www.wikidata.org/entity/Q212238,wikidata,profession,Invernizio Carolina,Il bacio di una morta,f,1886,1880_1889,persona titolare di un ufficio nell'ambito di un ente pubblico
Invernizio-Carolina_Il_Bacio_Duna_Morta_1886.txt,maggiordomo,1,it,http://www.wikidata.org/entity/Q833899,wikidata,profession,Invernizio Carolina,Il bacio di una morta,f,1886,1880_1889,responsabile della servitù in una corte o casa signorile
Invernizio-Carolina_Il_Bacio_Duna_Morta_1886.txt,tappezziere,1,it,http://www.wikidata.org/entity/Q23754740,wikidata,profession,Invernizio Carolina,Il bacio di una morta,f,1886,1880_1889,persona che produce o ripara imbottiture e rivestimenti di mobili
Invernizio-Carolina_Il_Bacio_Duna_Morta_1886.txt,cuoco,3,it,http://www.wikidata.org/entity/Q2276446,wikidata,profession,Invernizio Carolina,Il bacio di una morta,f,1886,1880_1889,collaboratore domestico
Invernizio-Carolina_Il_Bacio_Duna_Morta_1886.txt,giudice,8,it,http://www.wikidata.org/entity/Q3502546,wikidata,profession,Invernizio Carolina,Il bacio di una morta,f,1886,1880_1889,persona che sovraintende allo svolgimento di un match o un torneo di tennis
Invernizio-Carolina_Il_Bacio_Duna_Morta_1886.txt,guida,1,it,http://www.wikidata.org/entity/Q14290559,wikidata,profession,Invernizio Carolina,Il bacio di una morta,f,1886,1880_1889,
Invernizio-Carolina_Il_Bacio_Duna_Morta_1886.txt,fisico,1,it,http://www.wikidata.org/entity/Q169470,wikidata,profession,Invernizio Carolina,Il bacio di una morta,f,1886,1880_1889,scienziato che si occupa di fisica
Invernizio-Carolina_Il_Bacio_Duna_Morta_1886.txt,cameriere,28,it,http://www.wikidata.org/entity/Q157195,wikidata,profession,Invernizio Carolina,Il bacio di una morta,f,1886,1880_1889,personale di servizio in luoghi di ristorazione o case prevate
Invernizio-Carolina_Il_Bacio_Duna_Morta_1886.txt,pegno,1,it,http://www.wikidata.org/entity/Q176637,wikidata,profession,Invernizio Carolina,Il bacio di una morta,f,1886,1880_1889,attività di credito con la garanzia di un bene in custodia
Invernizio-Carolina_Il_Bacio_Duna_Morta_1886.txt,maestro,1,it,http://www.wikidata.org/entity/Q2251335,wikidata,profession,Invernizio Carolina,Il bacio di una morta,f,1886,1880_1889,professione
Invernizio-Carolina_Il_Bacio_Duna_Morta_1886.txt,tutore,2,it,http://www.wikidata.org/entity/Q901222,wikidata,profession,Invernizio Carolina,Il bacio di una morta,f,1886,1880_1889,insegnante che da' lezioni private
Invernizio-Carolina_Il_Bacio_Duna_Morta_1886.txt,ama,2,it,http://www.wikidata.org/entity/Q1577970,wikidata,profession,Invernizio Carolina,Il bacio di una morta,f,1886,1880_1889,pescatrici subacquee in apnea tradizionali giapponesi
Invernizio-Carolina_Il_Bacio_Duna_Morta_1886.txt,negoziante,4,it,http://www.wikidata.org/entity/Q7501153,wikidata,profession,Invernizio Carolina,Il bacio di una morta,f,1886,1880_1889,commerciante che possiede o gestisce un esercizio di vendita al dettaglio
Invernizio-Carolina_Il_Bacio_Duna_Morta_1886.txt,ballerina,25,it,http://www.wikidata.org/entity/Q4070300,wikidata,profession,Invernizio Carolina,Il bacio di una morta,f,1886,1880_1889,
Invernizio-Carolina_Il_Bacio_Duna_Morta_1886.txt,ballerino,12,it,http://www.wikidata.org/entity/Q805221,wikidata,profession,Invernizio Carolina,Il bacio di una morta,f,1886,1880_1889,persona che pratica l'arte del balletto
