File,Lemma,Occurrences,Language,LemmaID,Source,Tags,Author,Title,Gender,Year,Decade,Description
Melegari-Dora_Caterina-Spadaro_1908.tsv,tenore,4,it,http://www.wikidata.org/entity/Q98834046,wikidata,profession,Melegari Dora,Caterina Spadaro,f,1908,1900_1909,
Melegari-Dora_Caterina-Spadaro_1908.tsv,modello,1,it,http://www.wikidata.org/entity/Q4610556,wikidata,profession,Melegari Dora,Caterina Spadaro,f,1908,1900_1909,professione
Melegari-Dora_Caterina-Spadaro_1908.tsv,pittore,1,it,http://www.wikidata.org/entity/Q1028181,wikidata,profession,Melegari Dora,Caterina Spadaro,f,1908,1900_1909,artista che pratica l'arte della pittura
Melegari-Dora_Caterina-Spadaro_1908.tsv,capo,28,it,http://www.wikidata.org/entity/Q59260362,wikidata,profession,Melegari Dora,Caterina Spadaro,f,1908,1900_1909,posizione all'interno di una organizzazione
Melegari-Dora_Caterina-Spadaro_1908.tsv,amministratore,1,it,http://www.wikidata.org/entity/Q1231906,wikidata,profession,Melegari Dora,Caterina Spadaro,f,1908,1900_1909,
Melegari-Dora_Caterina-Spadaro_1908.tsv,domestico,6,it,http://www.sapere.it/enciclopedia/dom%C3%A8stico.html,sapere,profession,Melegari Dora,Caterina Spadaro,f,1908,1900_1909,domèstico: (ant. e dial. dimèstico); agg. e sm. (pl. m. -ci) [sec. XIII; dal latino domestícus].
Melegari-Dora_Caterina-Spadaro_1908.tsv,banchiere,1,it,http://www.wikidata.org/entity/Q806798,wikidata,profession,Melegari Dora,Caterina Spadaro,f,1908,1900_1909,proprietario o dirigente di una banca
Melegari-Dora_Caterina-Spadaro_1908.tsv,vasaio,1,it,http://www.wikidata.org/entity/Q3400050,wikidata,profession,Melegari Dora,Caterina Spadaro,f,1908,1900_1909,
Melegari-Dora_Caterina-Spadaro_1908.tsv,segretario,1,it,http://www.wikidata.org/entity/Q80687,wikidata,profession,Melegari Dora,Caterina Spadaro,f,1908,1900_1909,impiegato che svolge vari tipi di mansioni
Melegari-Dora_Caterina-Spadaro_1908.tsv,minatore,1,it,http://www.wikidata.org/entity/Q820037,wikidata,profession,Melegari Dora,Caterina Spadaro,f,1908,1900_1909,
Melegari-Dora_Caterina-Spadaro_1908.tsv,letterato,1,it,http://www.wikidata.org/entity/Q6673651,wikidata,profession,Melegari Dora,Caterina Spadaro,f,1908,1900_1909,chi lavora in letteratura
Melegari-Dora_Caterina-Spadaro_1908.tsv,scienziato,1,it,http://www.wikidata.org/entity/Q901,wikidata,profession,Melegari Dora,Caterina Spadaro,f,1908,1900_1909,persona che è esperta in un campo della scienza
Melegari-Dora_Caterina-Spadaro_1908.tsv,artista,5,it,http://www.wikidata.org/entity/Q483501,wikidata,profession,Melegari Dora,Caterina Spadaro,f,1908,1900_1909,persona che crea; pratica o dimostra qualsiasi arte
