File	Lemma	Occurrences	Language	LemmaID	Source	Tags	Author	Title	Gender	Year	Decade	Description
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	predicatore	1	it	http://www.wikidata.org/entity/Q432386	wikidata	profession	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	tempio	4	it	custom_552	custom	religious building (place)	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	barone	10	it	http://www.wikidata.org/entity/Q165503	wikidata	honorary title	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	titolo nobiliare
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	castello	10	it	custom_232	custom	civil building (place)	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	becchino	2	it	http://www.sapere.it/enciclopedia/becchino.html	sapere	profession	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	becchino: sm. [sec. XIV; da beccamorto]. Chi è addetto al seppellimento dei morti; necroforo: “Una maniera di beccamorti... che chiamar si facevano becchini” (Boccaccio).
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	biblioteca	12	it	http://www.wikidata.org/entity/Q7075	wikidata	facility (place)	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	istituzione culturale finalizzata alla raccolta organizzata di libri e risorse informative
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	maggiore	1	it	http://www.wikidata.org/entity/Q983927	wikidata	honorary title	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	grado militare utilizzato in molte forze armate
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	filosofo	32	it	http://www.wikidata.org/entity/Q4964182	wikidata	profession	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	persona che si occupa di filosofia
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	capo	41	it	http://www.wikidata.org/entity/Q20920693	wikidata	profession	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	posizione all'interno di una organizzazione
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	mercato	4	it	http://www.wikidata.org/entity/Q330284	wikidata	venue (place)	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	luogo in cui le persone si riuniscono regolarmente per l'acquisto e la vendita di provviste; bestiame e altri beni
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	studio	4	it	custom_728	custom	public (place)	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	casa	55	it	custom_184	custom	civil building (place)	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	console	3	it	http://www.wikidata.org/entity/Q48804423	wikidata	military rank	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	conte	2	it	http://www.wikidata.org/entity/Q3519259	wikidata	noble rank	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	titolo della nobiltà esistente nei paesi europei
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	signore	157	it	http://www.wikidata.org/entity/Q57979877	wikidata	noble rank	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	Titolo di nobiltà italiana
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	ufficio	2	it	http://www.wikidata.org/entity/Q182060	wikidata	workplace (place)	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	stanza in cui delle persone svolgono degli impieghi
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	segretario	9	it	http://www.wikidata.org/entity/Q80687	wikidata	profession	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	impiegato che svolge vari tipi di mansioni
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	chiesa	6	it	custom_470	custom	religious building (place)	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	sagrestia	1	it	custom_540	custom	religious building (place)	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	delfino	2	it	http://www.wikidata.org/entity/Q192883	wikidata	noble rank	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	soprannome e poi il titolo onorifico dei Signori del Delfinato; principe ereditario di Francia
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	giudice	29	it	http://www.wikidata.org/entity/Q3769128	wikidata	noble rank	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	sovrano in lingua volgare sarda
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	piloto	5	it	http://www.sapere.it/enciclopedia/pil%C3%B2to.html	sapere	profession	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	pilòto: variante ant. di pilota.
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	monsignore	1	it	http://www.wikidata.org/entity/Q854905	wikidata	noble rank	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	gentiluomo	5	it	http://www.wikidata.org/entity/Q749212	wikidata	honorary title	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	qualifica e status attribuita a persone
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	negozio	3	it	custom_108	custom	commercial building (place)	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	maggiordomo	5	it	http://www.wikidata.org/entity/Q833899	wikidata	profession	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	responsabile della servitù in una corte o casa signorile
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	eccellenza	17	it	http://www.wikidata.org/entity/Q1067610	wikidata	honorary title	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	
Nievo-Ippolito_Il-Barone-di-Nicastro_1860.txt	cameriere	2	it	http://www.wikidata.org/entity/Q157195	wikidata	profession	Nievo Ippolito	Le confessioni di un italiano	m	1860	1860_1869	personale di servizio in luoghi di ristorazione o case prevate
