File,Lemma,Occurrences,Language,LemmaID,Source,Tags,Author,Title,Gender,Year,Decade,Description
Petrucelli-della-Gattina-Ferdinando_I-moribondi-del-Palazzo-Carignano_1862.tsv,deputato,62,it,http://www.wikidata.org/entity/Q1055894,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,membro di una assemblea legislativa
Petrucelli-della-Gattina-Ferdinando_I-moribondi-del-Palazzo-Carignano_1862.tsv,commesso,2,it,http://www.wikidata.org/entity/Q5803091,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,
Petrucelli-della-Gattina-Ferdinando_I-moribondi-del-Palazzo-Carignano_1862.tsv,giornalista,5,it,http://www.wikidata.org/entity/Q1930187,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,colui che si occupa di scoprire; analizzare; descrivere e scegliere notizie
Petrucelli-della-Gattina-Ferdinando_I-moribondi-del-Palazzo-Carignano_1862.tsv,ballerina,2,it,http://www.wikidata.org/entity/Q4070300,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,
Petrucelli-della-Gattina-Ferdinando_I-moribondi-del-Palazzo-Carignano_1862.tsv,rappresentante,2,it,http://www.wikidata.org/entity/Q994779,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,
Petrucelli-della-Gattina-Ferdinando_I-moribondi-del-Palazzo-Carignano_1862.tsv,portinaio,1,it,http://www.wikidata.org/entity/Q2664461,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,terme
Petrucelli-della-Gattina-Ferdinando_I-moribondi-del-Palazzo-Carignano_1862.tsv,re,32,it,http://www.wikidata.org/entity/Q12097,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,titolo nobiliare maschile
Petrucelli-della-Gattina-Ferdinando_I-moribondi-del-Palazzo-Carignano_1862.tsv,re,32,scn,http://www.wikidata.org/entity/Q12097,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,suvranu màsculu dûn regnu
Petrucelli-della-Gattina-Ferdinando_I-moribondi-del-Palazzo-Carignano_1862.tsv,re,32,vec,http://www.wikidata.org/entity/Q12097,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,
Petrucelli-della-Gattina-Ferdinando_I-moribondi-del-Palazzo-Carignano_1862.tsv,guardia,9,it,http://www.wikidata.org/entity/Q680928,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,
Petrucelli-della-Gattina-Ferdinando_I-moribondi-del-Palazzo-Carignano_1862.tsv,guardia,9,scn,http://www.wikidata.org/entity/Q680928,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,
Petrucelli-della-Gattina-Ferdinando_I-moribondi-del-Palazzo-Carignano_1862.tsv,serva,1,it,http://www.sapere.it/enciclopedia/s%C3%A8rva.html,sapere,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,sèrva: sf. [sec. XIV; f. di servo].
Petrucelli-della-Gattina-Ferdinando_I-moribondi-del-Palazzo-Carignano_1862.tsv,medico,2,it,http://www.sapere.it/enciclopedia/m%C3%A8dico.html,sapere,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,mèdico: agg. e sm. (pl. m. -ci) [sec. XIII; dal latino medícus; da medēri; curare].
Petrucelli-della-Gattina-Ferdinando_I-moribondi-del-Palazzo-Carignano_1862.tsv,usciere,4,it,http://www.sapere.it/enciclopedia/usci%C3%A8re%C2%B9.html,sapere,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,uscière¹: (non comune
Petrucelli-della-Gattina-Ferdinando_I-moribondi-del-Palazzo-Carignano_1862.tsv,fotografo,2,it,http://www.wikidata.org/entity/Q33231,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,persona che produce fotografie; sia per professione che per diletto; utilizzando la macchina fotografica
Petrucelli-della-Gattina-Ferdinando_I-moribondi-del-Palazzo-Carignano_1862.tsv,fotografo,2,vec,http://www.wikidata.org/entity/Q33231,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,
Petrucelli-della-Gattina-Ferdinando_I-moribondi-del-Palazzo-Carignano_1862.tsv,cartaio,1,it,http://www.wikidata.org/entity/Q3362826,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,
Petrucelli-della-Gattina-Ferdinando_I-moribondi-del-Palazzo-Carignano_1862.tsv,venditore,1,it,http://www.wikidata.org/entity/Q685433,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,lavoro
Petrucelli-della-Gattina-Ferdinando_I-moribondi-del-Palazzo-Carignano_1862.tsv,sarto,1,it,http://www.wikidata.org/entity/Q242468,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,professione di chi confeziona; ripara o modifica abiti
Petrucelli-della-Gattina-Ferdinando_I-moribondi-del-Palazzo-Carignano_1862.tsv,diplomatico,1,it,http://www.wikidata.org/entity/Q193391,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,funzionario dello Stato
