File,Lemma,Occurrences,Language,LemmaID,Source,Tags,Author,Title,Gender,Year,Decade,Description
Petrucelli-della-Gattina-Ferdinando_I_Moribondi_Del_Palazzo_Carignano_1862.txt,deputato,62,it,http://www.wikidata.org/entity/Q1055894,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,membro di una assemblea legislativa
Petrucelli-della-Gattina-Ferdinando_I_Moribondi_Del_Palazzo_Carignano_1862.txt,commesso,2,it,http://www.wikidata.org/entity/Q5803091,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,
Petrucelli-della-Gattina-Ferdinando_I_Moribondi_Del_Palazzo_Carignano_1862.txt,giornalista,5,it,http://www.wikidata.org/entity/Q1930187,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,colui che si occupa di scoprire; analizzare; descrivere e scegliere notizie
Petrucelli-della-Gattina-Ferdinando_I_Moribondi_Del_Palazzo_Carignano_1862.txt,ballerina,2,it,http://www.wikidata.org/entity/Q4070300,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,
Petrucelli-della-Gattina-Ferdinando_I_Moribondi_Del_Palazzo_Carignano_1862.txt,rappresentante,2,it,http://www.wikidata.org/entity/Q994779,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,
Petrucelli-della-Gattina-Ferdinando_I_Moribondi_Del_Palazzo_Carignano_1862.txt,portinaio,1,it,http://www.wikidata.org/entity/Q2664461,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,terme
Petrucelli-della-Gattina-Ferdinando_I_Moribondi_Del_Palazzo_Carignano_1862.txt,re,32,it,http://www.wikidata.org/entity/Q12097,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,titolo nobiliare maschile
Petrucelli-della-Gattina-Ferdinando_I_Moribondi_Del_Palazzo_Carignano_1862.txt,guardia,9,it,http://www.wikidata.org/entity/Q680928,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,
Petrucelli-della-Gattina-Ferdinando_I_Moribondi_Del_Palazzo_Carignano_1862.txt,fotografo,2,it,http://www.wikidata.org/entity/Q33231,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,persona che produce fotografie; sia per professione che per diletto; utilizzando la macchina fotografica
Petrucelli-della-Gattina-Ferdinando_I_Moribondi_Del_Palazzo_Carignano_1862.txt,cartaio,1,it,http://www.wikidata.org/entity/Q3362826,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,
Petrucelli-della-Gattina-Ferdinando_I_Moribondi_Del_Palazzo_Carignano_1862.txt,venditore,1,it,http://www.wikidata.org/entity/Q685433,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,lavoro
Petrucelli-della-Gattina-Ferdinando_I_Moribondi_Del_Palazzo_Carignano_1862.txt,sarto,1,it,http://www.wikidata.org/entity/Q242468,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,professione di chi confeziona; ripara o modifica abiti
Petrucelli-della-Gattina-Ferdinando_I_Moribondi_Del_Palazzo_Carignano_1862.txt,diplomatico,1,it,http://www.wikidata.org/entity/Q193391,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,funzionario dello Stato
Petrucelli-della-Gattina-Ferdinando_I_Moribondi_Del_Palazzo_Carignano_1862.txt,ballerino,1,it,http://www.wikidata.org/entity/Q805221,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,persona che pratica l'arte del balletto
Petrucelli-della-Gattina-Ferdinando_I_Moribondi_Del_Palazzo_Carignano_1862.txt,mercante,1,it,http://www.wikidata.org/entity/Q215536,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,persona che si occupa di acquistare e rivendere (ad un prezzo maggiore) un determinato bene o prodotto
Petrucelli-della-Gattina-Ferdinando_I_Moribondi_Del_Palazzo_Carignano_1862.txt,capo,57,it,http://www.wikidata.org/entity/Q59260362,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,posizione all'interno di una organizzazione
Petrucelli-della-Gattina-Ferdinando_I_Moribondi_Del_Palazzo_Carignano_1862.txt,lettore,8,it,http://www.wikidata.org/entity/Q1569495,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,posizione accademica di rango inferiore al professore
Petrucelli-della-Gattina-Ferdinando_I_Moribondi_Del_Palazzo_Carignano_1862.txt,scienziato,1,it,http://www.wikidata.org/entity/Q901,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,persona che è esperta in un campo della scienza
Petrucelli-della-Gattina-Ferdinando_I_Moribondi_Del_Palazzo_Carignano_1862.txt,oratore,19,it,http://www.wikidata.org/entity/Q12859263,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,
Petrucelli-della-Gattina-Ferdinando_I_Moribondi_Del_Palazzo_Carignano_1862.txt,agente,5,it,http://www.wikidata.org/entity/Q835173,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,
Petrucelli-della-Gattina-Ferdinando_I_Moribondi_Del_Palazzo_Carignano_1862.txt,cavaliere,2,it,http://www.wikidata.org/entity/Q2730732,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,atleta che pratica lo sport dell'equitazione
Petrucelli-della-Gattina-Ferdinando_I_Moribondi_Del_Palazzo_Carignano_1862.txt,avvocato,12,it,http://www.wikidata.org/entity/Q21272499,wikidata,profession,Petruccelli Ferdinando,I moribondi del palazzo Carignano,m,1862,1860_1869,in Italia; libero professionista che si occupa di consulenza; assistenza e rappresentanza legale
