File	Lemma	Occurrences	Language	LemmaID	Source	Tags	Author	Title	Gender	Year	Decade	Description
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	compagno	102	it	http://www.wikidata.org/entity/Q59820483	wikidata	honorary title	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	titolo onorifico in uso in molti ordinamenti
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	canonico	8	it	http://www.wikidata.org/entity/Q1237385	wikidata	ecclesiastical occupation	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	fantesca	1	it	http://www.sapere.it/enciclopedia/fant%C3%A9sca.html	sapere	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	fantésca: sf. [sec. XIV; da fante sul modello del greco
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	abate	3	it	http://www.wikidata.org/entity/Q103163	wikidata	ecclesiastical occupation	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	titolo religioso dato al capo di un monastero
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	contadino	9	it	http://www.sapere.it/enciclopedia/contadino.html	sapere	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	contadino: sm. e agg. [sec. XIV; da contado].
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	direttore	14	it	http://www.wikidata.org/entity/Q1162163	wikidata	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	ruolo di comando in un'impresa; in un'organizzazione o un'istituzione
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	capo	68	it	http://www.wikidata.org/entity/Q20920693	wikidata	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	posizione all'interno di una organizzazione
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	signore	120	it	http://www.wikidata.org/entity/Q57979877	wikidata	noble rank	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	Titolo di nobiltà italiana
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	guida	9	it	http://www.wikidata.org/entity/Q14290559	wikidata	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	garzone	2	it	http://www.sapere.it/enciclopedia/garz%C3%B3ne.html	sapere	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	garzóne: sm. (f. -a) [sec. XIII; francese
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	alunno	11	it	http://www.wikidata.org/entity/Q48942	wikidata	military rank	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	persona che studia in una scuola
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	luogotenente	2	it	http://www.wikidata.org/entity/Q3840799	wikidata	military rank	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	Chi fa temporaneamente le veci di una carica politica o militare
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	prefetto	46	it	http://www.wikidata.org/entity/Q5183538	wikidata	military rank	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	ufficiale dell'Antica Roma; solitamente appartenente all'ordine equestre
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	lettore	37	it	http://www.wikidata.org/entity/Q1569495	wikidata	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	posizione accademica di rango inferiore al professore
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	esattore	1	it	http://www.wikidata.org/entity/Q1139055	wikidata	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	professione
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	rappresentante	3	it	http://www.wikidata.org/entity/Q994779	wikidata	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	principe	101	it	http://www.wikidata.org/entity/Q2747456	wikidata	honorary title	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	figlio di un principe; re; regina; imperatore o imperatrice o altra persona di alto rango (come un granduca)
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	generale	12	it	http://www.wikidata.org/entity/Q83460	wikidata	military rank	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	militare appartenente alla più elevata categoria degli ufficiali
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	maestro	44	it	http://www.wikidata.org/entity/Q59389180	wikidata	noble rank	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	cavaliere	1	it	http://www.wikidata.org/entity/Q2730732	wikidata	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	atleta che pratica lo sport dell'equitazione
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	restauratore	1	it	http://www.wikidata.org/entity/Q2145981	wikidata	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	persona che restaura le opere d'arte
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	re	21	it	http://www.wikidata.org/entity/Q12097	wikidata	noble rank	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	titolo nobiliare maschile
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	stella	5	it	http://www.wikidata.org/entity/Q15982595	wikidata	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	artista del mondo dello spettacolo che gode di molta popolarità
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	scolaro	3	it	http://www.wikidata.org/entity/Q2248623	wikidata	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	duca	1	it	http://www.wikidata.org/entity/Q3715809	wikidata	noble rank	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	figura del sistema sociale longobardo
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	marchese	2	it	http://www.wikidata.org/entity/Q209726	wikidata	noble rank	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	titolo nobiliare
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	monarca	2	it	http://www.wikidata.org/entity/Q116	wikidata	noble rank	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	capo di Stato
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	paggio	3	it	http://www.wikidata.org/entity/Q855855	wikidata	historical profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	soldato	13	it	http://www.wikidata.org/entity/Q4991371	wikidata	military rank	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	persona che si è arruolata nelle forze armate di un paese sovrano
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	servitore	11	it	http://www.sapere.it/enciclopedia/servit%C3%B3re.html	sapere	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	servitóre: (anticamente
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	saggio	3	it	http://www.wikidata.org/entity/Q2624172	wikidata	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	imperatore	3	it	http://www.wikidata.org/entity/Q39018	wikidata	noble rank	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	tipo di monarca
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	ciambellano	2	it	http://www.wikidata.org/entity/Q264323	wikidata	honorary title	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	custode	6	it	http://www.wikidata.org/entity/Q64155712	wikidata	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	addetto alla custodia; alla cura; alla sorveglianza di edifici; case; animali; persone
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	membro	12	it	http://www.wikidata.org/entity/Q59820617	wikidata	honorary title	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	titolo onorifico in uso in molti ordinamenti
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	ferraiolo	1	it	http://www.wikidata.org/entity/Q2291159	wikidata	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	artigiano che lavora con il ferro
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	critico	1	it	http://www.wikidata.org/entity/Q6430706	wikidata	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	scrittore	2	it	http://www.wikidata.org/entity/Q36180	wikidata	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	chiunque crei un lavoro scritto
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	musa	1	it	http://www.wikidata.org/entity/Q1954172	wikidata	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	valletto	1	it	http://www.wikidata.org/entity/Q13472752	wikidata	historical profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	filosofo	1	it	http://www.wikidata.org/entity/Q4964182	wikidata	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	persona che si occupa di filosofia
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	responsabile	1	it	http://www.wikidata.org/entity/Q3933467	wikidata	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	comparsa	3	it	http://www.wikidata.org/entity/Q658371	wikidata	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	vicario	1	it	http://www.wikidata.org/entity/Q193364	wikidata	ecclesiastical occupation	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	portiere	6	it	http://www.sapere.it/enciclopedia/porti%C3%A8re.html	sapere	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	portière: sm. (f. -a) [sec. XIV; dal francese portier].
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	carceriere	1	it	http://www.sapere.it/enciclopedia/carceri%C3%A8re.html	sapere	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	carcerière: sm. (f. -a) [sec. XVI; da carcere]. Chi custodisce i carcerati; chi presta servizio di custodia in un carcere. Fig.; chi sorveglia con estrema severità o comunque limita la libertà altrui: “si trovava ridotta alla vita noiosa di carceriera” (Manzoni).
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	giudice	5	it	http://www.wikidata.org/entity/Q3769128	wikidata	noble rank	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	sovrano in lingua volgare sarda
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	spia	11	it	http://www.wikidata.org/entity/Q9352089	wikidata	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	soggetto atto a praticare l'attività di spionaggio per conto di agenzie governative
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	buffone	1	it	http://www.wikidata.org/entity/Q15037346	wikidata	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	termine col quale si indicava un giullare
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	cospiratore	14	it	http://www.wikidata.org/entity/Q63967171	wikidata	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	guardia	18	it	http://www.wikidata.org/entity/Q680928	wikidata	profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	console	12	it	http://www.wikidata.org/entity/Q48804423	wikidata	military rank	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	
Ruffini-Giovanni_Lorenzo-Benoni_1853.txt	littore	4	it	http://www.wikidata.org/entity/Q59671	wikidata	historical profession	Ruffini Giovanni	Lorenzo Benoni	m	1853	1850_1859	classe di servitori civili dell'antica Roma
