File	Lemma	Occurrences	Language	LemmaID	Source	Tags	Author	Title	Gender	Year	Decade	Description
Serao-Matidle_Cuore-infermo_1881.txt	giardino	13	it	custom_660	custom	public (place)	Serao Matilde	Cuore inferno	f	1881	1880_1889	
Serao-Matidle_Cuore-infermo_1881.txt	porto	2	it	custom_402	custom	industrial (place)	Serao Matilde	Cuore inferno	f	1881	1880_1889	
Serao-Matidle_Cuore-infermo_1881.txt	marinaio	2	it	http://www.wikidata.org/entity/Q707995	wikidata	military rank	Serao Matilde	Cuore inferno	f	1881	1880_1889	membro dell'equipaggio di una nave
Serao-Matidle_Cuore-infermo_1881.txt	pescatore	1	it	http://www.wikidata.org/entity/Q331432	wikidata	profession	Serao Matilde	Cuore inferno	f	1881	1880_1889	persona addetta alla cattura di pesci
Serao-Matidle_Cuore-infermo_1881.txt	caserma	1	it	custom_10	custom	military (place)	Serao Matilde	Cuore inferno	f	1881	1880_1889	
Serao-Matidle_Cuore-infermo_1881.txt	villa	33	it	custom_296	custom	civil building (place)	Serao Matilde	Cuore inferno	f	1881	1880_1889	
Serao-Matidle_Cuore-infermo_1881.txt	casa	116	it	custom_184	custom	civil building (place)	Serao Matilde	Cuore inferno	f	1881	1880_1889	
Serao-Matidle_Cuore-infermo_1881.txt	edificio	4	it	http://www.wikidata.org/entity/Q41176	wikidata	facility (place)	Serao Matilde	Cuore inferno	f	1881	1880_1889	costruzione edilizia realizzata dall'uomo
Serao-Matidle_Cuore-infermo_1881.txt	teatro	27	it	custom_733	custom	public (place)	Serao Matilde	Cuore inferno	f	1881	1880_1889	
Serao-Matidle_Cuore-infermo_1881.txt	scolaro	1	it	http://www.wikidata.org/entity/Q2248623	wikidata	profession	Serao Matilde	Cuore inferno	f	1881	1880_1889	
Serao-Matidle_Cuore-infermo_1881.txt	capo	121	it	http://www.wikidata.org/entity/Q20920693	wikidata	profession	Serao Matilde	Cuore inferno	f	1881	1880_1889	posizione all'interno di una organizzazione
Serao-Matidle_Cuore-infermo_1881.txt	collegio	3	it	custom_637	custom	public (place)	Serao Matilde	Cuore inferno	f	1881	1880_1889	
Serao-Matidle_Cuore-infermo_1881.txt	stella	7	it	http://www.wikidata.org/entity/Q15982595	wikidata	profession	Serao Matilde	Cuore inferno	f	1881	1880_1889	artista del mondo dello spettacolo che gode di molta popolarità
Serao-Matidle_Cuore-infermo_1881.txt	gentiluomo	9	it	http://www.wikidata.org/entity/Q749212	wikidata	honorary title	Serao Matilde	Cuore inferno	f	1881	1880_1889	qualifica e status attribuita a persone
Serao-Matidle_Cuore-infermo_1881.txt	signore	112	it	http://www.wikidata.org/entity/Q57979877	wikidata	noble rank	Serao Matilde	Cuore inferno	f	1881	1880_1889	Titolo di nobiltà italiana
Serao-Matidle_Cuore-infermo_1881.txt	duca	43	it	http://www.wikidata.org/entity/Q3715809	wikidata	noble rank	Serao Matilde	Cuore inferno	f	1881	1880_1889	figura del sistema sociale longobardo
Serao-Matidle_Cuore-infermo_1881.txt	stanza	33	it	http://www.wikidata.org/entity/Q180516	wikidata	facility (place)	Serao Matilde	Cuore inferno	f	1881	1880_1889	ambiente interno di un edificio; ad uso abitazione o ufficio
Serao-Matidle_Cuore-infermo_1881.txt	guida	3	it	http://www.wikidata.org/entity/Q14290559	wikidata	profession	Serao Matilde	Cuore inferno	f	1881	1880_1889	
Serao-Matidle_Cuore-infermo_1881.txt	libreria	2	it	custom_102	custom	commercial building (place)	Serao Matilde	Cuore inferno	f	1881	1880_1889	
Serao-Matidle_Cuore-infermo_1881.txt	poeta	7	it	http://www.wikidata.org/entity/Q49757	wikidata	profession	Serao Matilde	Cuore inferno	f	1881	1880_1889	scrittore di poesie
Serao-Matidle_Cuore-infermo_1881.txt	scrittore	1	it	http://www.wikidata.org/entity/Q36180	wikidata	profession	Serao Matilde	Cuore inferno	f	1881	1880_1889	chiunque crei un lavoro scritto
Serao-Matidle_Cuore-infermo_1881.txt	prigione	1	it	custom_707	custom	public (place)	Serao Matilde	Cuore inferno	f	1881	1880_1889	
Serao-Matidle_Cuore-infermo_1881.txt	sarta	3	it	http://www.sapere.it/enciclopedia/sarta.html	sapere	profession	Serao Matilde	Cuore inferno	f	1881	1880_1889	sarta: sf. [sec. XV; f. di sarto]. Donna che; in proprio o come lavoratrice dipendente; taglia e confeziona abiti; specialmente femminili.
Serao-Matidle_Cuore-infermo_1881.txt	maestra	2	it	http://www.wikidata.org/entity/Q78812499	wikidata	profession	Serao Matilde	Cuore inferno	f	1881	1880_1889	
Serao-Matidle_Cuore-infermo_1881.txt	maggiordomo	6	it	http://www.wikidata.org/entity/Q833899	wikidata	profession	Serao Matilde	Cuore inferno	f	1881	1880_1889	responsabile della servitù in una corte o casa signorile
Serao-Matidle_Cuore-infermo_1881.txt	salone	41	it	custom_714	custom	public (place)	Serao Matilde	Cuore inferno	f	1881	1880_1889	
Serao-Matidle_Cuore-infermo_1881.txt	cappella	5	it	custom_458	custom	religious building (place)	Serao Matilde	Cuore inferno	f	1881	1880_1889	
Serao-Matidle_Cuore-infermo_1881.txt	appartamento	15	it	custom_169	custom	civil building (place)	Serao Matilde	Cuore inferno	f	1881	1880_1889	
Serao-Matidle_Cuore-infermo_1881.txt	principessa	17	it	http://www.wikidata.org/entity/Q863048	wikidata	honorary title	Serao Matilde	Cuore inferno	f	1881	1880_1889	titolo nobiliare
Serao-Matidle_Cuore-infermo_1881.txt	nobile	1	it	http://www.wikidata.org/entity/Q3877594	wikidata	nobiliary particle	Serao Matilde	Cuore inferno	f	1881	1880_1889	titolo nobiliare italiano
Serao-Matidle_Cuore-infermo_1881.txt	duchessa	42	it	http://www.wikidata.org/entity/Q4593319	wikidata	noble rank	Serao Matilde	Cuore inferno	f	1881	1880_1889	titolo nobiliare
Serao-Matidle_Cuore-infermo_1881.txt	principe	3	it	http://www.wikidata.org/entity/Q2747456	wikidata	honorary title	Serao Matilde	Cuore inferno	f	1881	1880_1889	figlio di un principe; re; regina; imperatore o imperatrice o altra persona di alto rango (come un granduca)
Serao-Matidle_Cuore-infermo_1881.txt	fiera	1	it	custom_651	custom	public (place)	Serao Matilde	Cuore inferno	f	1881	1880_1889	
Serao-Matidle_Cuore-infermo_1881.txt	conte	35	it	http://www.wikidata.org/entity/Q3519259	wikidata	noble rank	Serao Matilde	Cuore inferno	f	1881	1880_1889	titolo della nobiltà esistente nei paesi europei
Serao-Matidle_Cuore-infermo_1881.txt	ufficiale	3	it	http://www.wikidata.org/entity/Q61022630	wikidata	profession	Serao Matilde	Cuore inferno	f	1881	1880_1889	
Serao-Matidle_Cuore-infermo_1881.txt	amministratore	1	it	http://www.wikidata.org/entity/Q1231906	wikidata	profession	Serao Matilde	Cuore inferno	f	1881	1880_1889	
Serao-Matidle_Cuore-infermo_1881.txt	corte	10	it	custom_240	custom	civil building (place)	Serao Matilde	Cuore inferno	f	1881	1880_1889	
Serao-Matidle_Cuore-infermo_1881.txt	vescovo	1	it	http://www.wikidata.org/entity/Q29182	wikidata	ecclesiastical occupation	Serao Matilde	Cuore inferno	f	1881	1880_1889	responsabile di una diocesi (non necessariamente cattolico)
Serao-Matidle_Cuore-infermo_1881.txt	comune	1	it	custom_639	custom	public (place)	Serao Matilde	Cuore inferno	f	1881	1880_1889	
Serao-Matidle_Cuore-infermo_1881.txt	famiglio	1	it	http://www.sapere.it/enciclopedia/fam%C3%ACglio.html	sapere	profession	Serao Matilde	Cuore inferno	f	1881	1880_1889	famìglio: sm. [sec. XIV; da famiglia].
Serao-Matidle_Cuore-infermo_1881.txt	residenza	1	it	custom_272	custom	civil building (place)	Serao Matilde	Cuore inferno	f	1881	1880_1889	
Serao-Matidle_Cuore-infermo_1881.txt	fabbrica	5	it	custom_346	custom	industrial (place)	Serao Matilde	Cuore inferno	f	1881	1880_1889	
