File,Lemma,Occurrences,Language,LemmaID,Source,Tags,Author,Title,Gender,Year,Decade,Description
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,re,160,it,http://www.wikidata.org/entity/Q12097,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,titolo nobiliare maschile
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,condottiero,1,it,http://www.wikidata.org/entity/Q1402561,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,individuo che guida un esercito o un popolo
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,guerriero,7,it,http://www.wikidata.org/entity/Q1250916,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,maggiordomo,1,it,http://www.wikidata.org/entity/Q833899,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,responsabile della servitù in una corte o casa signorile
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,pegno,2,it,http://www.wikidata.org/entity/Q176637,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,attività di credito con la garanzia di un bene in custodia
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,capo,47,it,http://www.wikidata.org/entity/Q59260362,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,posizione all'interno di una organizzazione
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,regina,138,it,http://www.wikidata.org/entity/Q16511993,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,monarca di genere femminile
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,artista,11,it,http://www.wikidata.org/entity/Q483501,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,persona che crea; pratica o dimostra qualsiasi arte
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,ufficiale,14,it,http://www.wikidata.org/entity/Q61022630,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,guardia,12,it,http://www.wikidata.org/entity/Q680928,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,maestra,2,it,http://www.wikidata.org/entity/Q78812499,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,insegnante nella scuola elementare
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,arbitro,1,it,http://www.wikidata.org/entity/Q716711,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,responsabile del rispetto delle regole del Football Americano durante il gioco
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,cameriere,6,it,http://www.wikidata.org/entity/Q157195,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,personale di servizio in luoghi di ristorazione o case prevate
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,imperatore,15,it,http://www.wikidata.org/entity/Q39018,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,tipo di monarca
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,pastore,2,it,http://www.wikidata.org/entity/Q81710,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,persona che guida e si prende cura di un gregge di pecore o altri animali
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,cavaliere,8,it,http://www.wikidata.org/entity/Q2730732,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,atleta che pratica lo sport dell'equitazione
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,siniscalco,2,it,http://www.wikidata.org/entity/Q1138622,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,titolo feudale
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,lettore,4,it,http://www.wikidata.org/entity/Q1569495,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,posizione accademica di rango inferiore al professore
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,interprete,1,it,http://www.wikidata.org/entity/Q11085831,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,persona che traduce oralmente da una lingua di partenza verso una lingua d'arrivo
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,ballerino,1,it,http://www.wikidata.org/entity/Q805221,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,persona che pratica l'arte del balletto
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,governatore,2,it,http://www.wikidata.org/entity/Q132050,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,funzionario a capo di un settore; civile o militare
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,deputato,8,it,http://www.wikidata.org/entity/Q1055894,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,membro di una assemblea legislativa
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,cacciatore,8,it,http://www.wikidata.org/entity/Q1714828,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,persona che caccia
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,maestro,1,it,http://www.wikidata.org/entity/Q2251335,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,professione
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,conquistatore,1,it,http://www.wikidata.org/entity/Q3683504,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,conquistatore
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,rappresentante,2,it,http://www.wikidata.org/entity/Q994779,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,militare,2,it,http://www.wikidata.org/entity/Q47064,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,membro delle forze armate
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,scultore,1,it,http://www.wikidata.org/entity/Q1281618,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,artista che pratica l'arte della scultura
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,custode,1,it,http://www.wikidata.org/entity/Q64155712,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,addetto alla custodia; alla cura; alla sorveglianza di edifici; case; animali; persone
Silvola-Rodolfo-Giuspeppe_Alboino in Italia_1840.txt,commesso,4,it,http://www.wikidata.org/entity/Q5803091,wikidata,profession,Silvola Rodolfo Giuseppe,Alboino in Italia,m,1840,1840_1849,
