File	Lemma	Occurrences	Language	LemmaID	Source	Tags	Author	Title	Gender	Year	Decade	Description
Silvola-Rodolfo-Giuspeppe_Alboino-in-Italia_1840.txt	tempio	12	it	http://www.wikidata.org/entity/Q44539	wikidata	religious building (place)	Silvola Rodolfo Giuseppe	Alboino in Italia	m	1840	1840_1849	struttura architettonica utilizzata come luogo di culto
Silvola-Rodolfo-Giuspeppe_Alboino-in-Italia_1840.txt	re	155	it	http://www.wikidata.org/entity/Q12097	wikidata	noble rank	Silvola Rodolfo Giuseppe	Alboino in Italia	m	1840	1840_1849	titolo nobiliare maschile
Silvola-Rodolfo-Giuspeppe_Alboino-in-Italia_1840.txt	convitto	4	it	custom_238	custom	civil building (place)	Silvola Rodolfo Giuseppe	Alboino in Italia	m	1840	1840_1849	
Silvola-Rodolfo-Giuspeppe_Alboino-in-Italia_1840.txt	impresa	20	it	custom_97	custom	commercial building (place)	Silvola Rodolfo Giuseppe	Alboino in Italia	m	1840	1840_1849	
Silvola-Rodolfo-Giuspeppe_Alboino-in-Italia_1840.txt	dimora	2	it	custom_245	custom	civil building (place)	Silvola Rodolfo Giuseppe	Alboino in Italia	m	1840	1840_1849	
Silvola-Rodolfo-Giuspeppe_Alboino-in-Italia_1840.txt	condottiero	1	it	http://www.wikidata.org/entity/Q1402561	wikidata	profession	Silvola Rodolfo Giuseppe	Alboino in Italia	m	1840	1840_1849	individuo che guida un esercito o un popolo
Silvola-Rodolfo-Giuspeppe_Alboino-in-Italia_1840.txt	guerriero	7	it	http://www.wikidata.org/entity/Q1250916	wikidata	profession	Silvola Rodolfo Giuseppe	Alboino in Italia	m	1840	1840_1849	
Silvola-Rodolfo-Giuspeppe_Alboino-in-Italia_1840.txt	mensa	14	it	custom_674	custom	public (place)	Silvola Rodolfo Giuseppe	Alboino in Italia	m	1840	1840_1849	
Silvola-Rodolfo-Giuspeppe_Alboino-in-Italia_1840.txt	reggia	34	it	custom_270	custom	civil building (place)	Silvola Rodolfo Giuseppe	Alboino in Italia	m	1840	1840_1849	
Silvola-Rodolfo-Giuspeppe_Alboino-in-Italia_1840.txt	compagno	7	it	http://www.wikidata.org/entity/Q59820483	wikidata	honorary title	Silvola Rodolfo Giuseppe	Alboino in Italia	m	1840	1840_1849	titolo onorifico in uso in molti ordinamenti
Silvola-Rodolfo-Giuspeppe_Alboino-in-Italia_1840.txt	soldato	32	it	http://www.wikidata.org/entity/Q4991371	wikidata	military rank	Silvola Rodolfo Giuseppe	Alboino in Italia	m	1840	1840_1849	persona che si è arruolata nelle forze armate di un paese sovrano
Silvola-Rodolfo-Giuspeppe_Alboino-in-Italia_1840.txt	maggiordomo	1	it	http://www.wikidata.org/entity/Q833899	wikidata	profession	Silvola Rodolfo Giuseppe	Alboino in Italia	m	1840	1840_1849	responsabile della servitù in una corte o casa signorile
Silvola-Rodolfo-Giuspeppe_Alboino-in-Italia_1840.txt	do	8	it	http://www.wikidata.org/entity/Q66567485	wikidata	nobiliary particle	Silvola Rodolfo Giuseppe	Alboino in Italia	m	1840	1840_1849	
