File	Lemma	Occurrences	Language	LemmaID	Source	Tags	Author	Title	Gender	Year	Decade	Description
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	dottore	130	it	http://www.wikidata.org/entity/Q4618975	wikidata	honorary title	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	titolo accademico
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	buffone	2	it	http://www.wikidata.org/entity/Q15037346	wikidata	profession	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	termine col quale si indicava un giullare
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	matematico	1	it	http://www.wikidata.org/entity/Q170790	wikidata	profession	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	professione
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	sartoria	1	it	custom_149	custom	commercial building (place)	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	casa	261	it	custom_184	custom	civil building (place)	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	fantesca	11	it	http://www.sapere.it/enciclopedia/fant%C3%A9sca.html	sapere	profession	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	fantésca: sf. [sec. XIV; da fante sul modello del greco
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	stanza	90	it	http://www.wikidata.org/entity/Q180516	wikidata	facility (place)	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	ambiente interno di un edificio; ad uso abitazione o ufficio
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	capo	18	it	http://www.wikidata.org/entity/Q20920693	wikidata	profession	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	posizione all'interno di una organizzazione
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	cantina	1	it	custom_317	custom	industrial (place)	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	studio	47	it	custom_728	custom	public (place)	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	igienista	1	it	http://www.wikidata.org/entity/Q651566	wikidata	profession	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	professione medica
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	alloggio	1	it	custom_167	custom	civil building (place)	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	cimitero	9	it	custom_504	custom	religious building (place)	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	medico	45	it	http://www.sapere.it/enciclopedia/m%C3%A8dico.html	sapere	profession	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	mèdico: agg. e sm. (pl. m. -ci) [sec. XIII; dal latino medícus; da medēri; curare].
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	signore	148	it	http://www.wikidata.org/entity/Q57979877	wikidata	noble rank	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	Titolo di nobiltà italiana
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	letterato	2	it	http://www.wikidata.org/entity/Q6673651	wikidata	profession	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	chi lavora in letteratura
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	amministratore	4	it	http://www.wikidata.org/entity/Q1231906	wikidata	profession	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	stabilimento	1	it	custom_425	custom	industrial (place)	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	appartamento	1	it	custom_169	custom	civil building (place)	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	prigione	2	it	custom_707	custom	public (place)	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	stella	5	it	http://www.wikidata.org/entity/Q15982595	wikidata	profession	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	artista del mondo dello spettacolo che gode di molta popolarità
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	villa	21	it	custom_296	custom	civil building (place)	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	università	2	it	custom_737	custom	public (place)	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	comune	3	it	custom_639	custom	public (place)	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	commerciante	13	it	http://www.sapere.it/enciclopedia/commerciante.html	sapere	profession	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	commerciante: agg. e sm. e f. [sec. XVIII; ppr. di commerciare]. Chi; per professione; esercita il commercio: commerciante all'ingrosso; grossista; commerciante al minuto; dettagliante.
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	sarta	3	it	http://www.sapere.it/enciclopedia/sarta.html	sapere	profession	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	sarta: sf. [sec. XV; f. di sarto]. Donna che; in proprio o come lavoratrice dipendente; taglia e confeziona abiti; specialmente femminili.
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	becchino	2	it	http://www.sapere.it/enciclopedia/becchino.html	sapere	profession	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	becchino: sm. [sec. XIV; da beccamorto]. Chi è addetto al seppellimento dei morti; necroforo: “Una maniera di beccamorti... che chiamar si facevano becchini” (Boccaccio).
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	giardino	32	it	custom_660	custom	public (place)	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	scienziato	1	it	http://www.wikidata.org/entity/Q901	wikidata	profession	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	persona che è esperta in un campo della scienza
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	deposito	5	it	custom_646	custom	public (place)	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	contadino	5	it	http://www.sapere.it/enciclopedia/contadino.html	sapere	profession	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	contadino: sm. e agg. [sec. XIV; da contado].
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	impiegato	18	it	http://www.wikidata.org/entity/Q738142	wikidata	profession	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	lavoratore subordinato che svolge una prestazione prevalentemente intellettuale all'interno di un ufficio
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	albergo	3	it	custom_32	custom	commercial building (place)	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	imperatore	1	it	http://www.wikidata.org/entity/Q39018	wikidata	noble rank	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	tipo di monarca
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	basso	4	it	custom_175	custom	civil building (place)	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	negoziante	4	it	http://www.wikidata.org/entity/Q7501153	wikidata	profession	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	commerciante che possiede o gestisce un esercizio di vendita al dettaglio
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	membro	7	it	http://www.wikidata.org/entity/Q59820617	wikidata	honorary title	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	titolo onorifico in uso in molti ordinamenti
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	ditta	17	it	custom_82	custom	commercial building (place)	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	fabbrica	1	it	custom_346	custom	industrial (place)	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	agente	8	it	http://www.wikidata.org/entity/Q835173	wikidata	profession	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	lottatore	3	it	http://www.wikidata.org/entity/Q12369333	wikidata	profession	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	compagno	6	it	http://www.wikidata.org/entity/Q59820483	wikidata	honorary title	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	titolo onorifico in uso in molti ordinamenti
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	chimico	5	it	http://www.wikidata.org/entity/Q593644	wikidata	profession	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	scienziato che studia la chimica
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	porto	6	it	custom_402	custom	industrial (place)	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	oratore	1	it	http://www.wikidata.org/entity/Q12859263	wikidata	profession	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	libraio	3	it	http://www.wikidata.org/entity/Q998550	wikidata	profession	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	professione
Svevo-Italo_La-coscienza-di-Zeno_1923.txt	negozio	1	it	custom_108	custom	commercial building (place)	Svevo Italo	La coscienza di Zeno	m	1923	1910_1920	
