File,Lemma,Occurrences,Language,LemmaID,Source,Tags,Author,Title,Gender,Year,Decade,Description
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.tsv,modello,8,it,http://www.wikidata.org/entity/Q4610556,wikidata,profession,Torricelli Giovan Battista,Oddantonio Feltre,m,1860,1860_1869,professione
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.tsv,scrittore,5,it,http://www.wikidata.org/entity/Q36180,wikidata,profession,Torricelli Giovan Battista,Oddantonio Feltre,m,1860,1860_1869,chiunque crei un lavoro scritto
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.tsv,letterato,2,it,http://www.wikidata.org/entity/Q6673651,wikidata,profession,Torricelli Giovan Battista,Oddantonio Feltre,m,1860,1860_1869,chi lavora in letteratura
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.tsv,attore,13,it,http://www.wikidata.org/entity/Q33999,wikidata,profession,Torricelli Giovan Battista,Oddantonio Feltre,m,1860,1860_1869,professione
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.tsv,comparsa,1,it,http://www.wikidata.org/entity/Q658371,wikidata,profession,Torricelli Giovan Battista,Oddantonio Feltre,m,1860,1860_1869,
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.tsv,lettore,51,it,http://www.wikidata.org/entity/Q1569495,wikidata,profession,Torricelli Giovan Battista,Oddantonio Feltre,m,1860,1860_1869,posizione accademica di rango inferiore al professore
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.tsv,imperatore,10,it,http://www.wikidata.org/entity/Q39018,wikidata,profession,Torricelli Giovan Battista,Oddantonio Feltre,m,1860,1860_1869,tipo di monarca
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.tsv,mercante,8,it,http://www.wikidata.org/entity/Q215536,wikidata,profession,Torricelli Giovan Battista,Oddantonio Feltre,m,1860,1860_1869,persona che si occupa di acquistare e rivendere (ad un prezzo maggiore) un determinato bene o prodotto
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.tsv,guida,19,it,http://www.wikidata.org/entity/Q14290559,wikidata,profession,Torricelli Giovan Battista,Oddantonio Feltre,m,1860,1860_1869,
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.tsv,castellano,23,it,http://www.wikidata.org/entity/Q1505781,wikidata,profession,Torricelli Giovan Battista,Oddantonio Feltre,m,1860,1860_1869,proprietario o custode di un castello
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.tsv,cavaliere,225,it,http://www.wikidata.org/entity/Q2730732,wikidata,profession,Torricelli Giovan Battista,Oddantonio Feltre,m,1860,1860_1869,atleta che pratica lo sport dell'equitazione
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.tsv,romanziere,2,it,http://www.wikidata.org/entity/Q6625963,wikidata,profession,Torricelli Giovan Battista,Oddantonio Feltre,m,1860,1860_1869,autore di romanzi e/o racconti
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.tsv,pittore,8,it,http://www.wikidata.org/entity/Q1028181,wikidata,profession,Torricelli Giovan Battista,Oddantonio Feltre,m,1860,1860_1869,artista che pratica l'arte della pittura
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.tsv,guardia,31,it,http://www.wikidata.org/entity/Q680928,wikidata,profession,Torricelli Giovan Battista,Oddantonio Feltre,m,1860,1860_1869,
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.tsv,guardia,31,scn,http://www.wikidata.org/entity/Q680928,wikidata,profession,Torricelli Giovan Battista,Oddantonio Feltre,m,1860,1860_1869,
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.tsv,ballerina,1,it,http://www.wikidata.org/entity/Q4070300,wikidata,profession,Torricelli Giovan Battista,Oddantonio Feltre,m,1860,1860_1869,
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.tsv,capo,114,it,http://www.wikidata.org/entity/Q59260362,wikidata,profession,Torricelli Giovan Battista,Oddantonio Feltre,m,1860,1860_1869,posizione all'interno di una organizzazione
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.tsv,maestro,22,it,http://www.wikidata.org/entity/Q2251335,wikidata,profession,Torricelli Giovan Battista,Oddantonio Feltre,m,1860,1860_1869,professione
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.tsv,precettore,12,it,http://www.wikidata.org/entity/Q609016,wikidata,profession,Torricelli Giovan Battista,Oddantonio Feltre,m,1860,1860_1869,
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.tsv,oratore,7,it,http://www.wikidata.org/entity/Q12859263,wikidata,profession,Torricelli Giovan Battista,Oddantonio Feltre,m,1860,1860_1869,
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.tsv,filosofo,2,it,http://www.wikidata.org/entity/Q4964182,wikidata,profession,Torricelli Giovan Battista,Oddantonio Feltre,m,1860,1860_1869,persona che si occupa di filosofia
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.tsv,maggiordomo,2,it,http://www.wikidata.org/entity/Q833899,wikidata,profession,Torricelli Giovan Battista,Oddantonio Feltre,m,1860,1860_1869,responsabile della servitù in una corte o casa signorile
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.tsv,inventore,5,it,http://www.wikidata.org/entity/Q205375,wikidata,profession,Torricelli Giovan Battista,Oddantonio Feltre,m,1860,1860_1869,professione
