MESTIERI,1919,1907,1883,1871,1834,1868,1869,1891,1879,1901,1892,1864,1850,1849,1884,1900,1889,1895,1886,1890,1897,1888,1894,1913,1920,1896,1903,1912,1874,1873,1885,1881,1870,1863,1860,1915,1876,1826,1840,1908,1880,1917,1867,1877,1862,1904,1859,1882,1856,1853,1887,1923,1898,1909,1875,1866
stella,14,8,4,2,0,1,7,5,21,12,3,2,9,0,0,29,10,4,8,9,4,4,3,25,4,20,7,10,7,7,5,41,5,53,19,1,1,3,3,4,2,9,30,18,4,1,24,11,3,6,1,5,0,14,3,3
capo,66,141,75,8,23,102,96,47,92,241,100,52,126,42,52,56,70,33,147,229,95,61,242,273,37,98,96,151,37,31,96,401,117,343,468,53,24,90,80,28,13,28,389,84,121,50,142,161,127,68,69,18,6,82,39,16
ore,2,0,0,0,1,0,0,1,0,1,2,1,7,0,0,1,2,0,2,1,0,0,0,0,1,0,3,0,1,0,3,3,0,1,1,0,0,2,2,0,0,1,3,0,0,0,4,1,0,0,0,0,0,0,0,2
messaggero,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
portatore,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,3,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,3,1,1,3,0,0,6,0,0,0,0,0,0,0,0,1,0,1,6,1,0,0,0,0,0
coltivatore,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0
comparsa,1,3,1,1,0,0,1,1,1,5,0,0,0,0,0,0,0,0,1,0,2,3,0,5,0,1,5,3,0,0,0,0,6,1,3,0,0,4,0,0,0,4,16,0,0,0,25,1,0,3,2,0,0,0,0,0
maestro,4,12,21,11,1,7,1,82,6,32,12,6,27,0,5,31,10,16,288,41,15,4,70,16,2,1,19,35,2,11,1,73,16,28,42,12,0,8,7,0,1,7,42,3,8,1,108,7,19,44,1,41,2,17,0,0
musa,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,11,3,0,0,0,0,0,0,0,2,1,1,0,6,2,1,1,0,0,0,0,1,0
maschera,5,3,1,2,0,0,0,1,12,14,2,6,2,0,0,18,11,2,6,16,8,5,2,8,5,5,3,9,0,1,0,14,2,4,11,1,0,0,2,0,1,4,2,7,9,3,53,3,5,4,0,1,0,0,1,2
prostituta,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
guerriero,2,21,0,1,4,0,1,0,0,0,0,0,1,0,1,1,0,1,0,2,0,0,1,2,1,1,0,0,0,0,0,3,2,8,7,0,0,0,7,0,0,0,6,2,1,0,0,0,1,0,0,0,0,2,0,0
giocatore,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,2,0,1,1,5,0,1,1,5,1,0,1,0,2,3,0,6,3,0,0,0,0,1,0,0,3,1,0,0,1,0,1,0,0,0,0
contadino,21,9,18,0,2,19,7,1,3,45,18,5,4,15,7,1,0,0,51,10,15,15,12,33,18,28,4,24,2,0,6,26,12,5,31,2,0,28,2,1,7,4,30,4,2,3,9,19,14,9,2,6,0,4,4,0
carceriere,1,4,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,16,0,2,0,0,0,0,0,2,0,0,0,2,2,1,18,0,0,0,1,0,0,0,15,0,0,0,0,0,5,1,1,0,0,0,0,0
maestra,0,9,0,0,0,0,0,0,2,23,2,14,5,0,2,1,0,0,106,2,6,3,2,7,0,8,1,4,1,3,0,25,2,0,3,3,0,2,3,4,1,15,9,0,2,6,10,1,1,1,41,0,0,2,0,0
